DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps,Score
0.14285714285714285,2.7142857142857144,20.0,14.0,1,37,C4,14,C3,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,0
0.0,0.5714285714285714,18.0,15.0,0,51,C4,0,,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,0
8.5,20.5,4.0,1.0,1,14,C3,56,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,38
10.375,26.75,3.0,2.0,1,14,C4,56,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,21
16.375,26.75,6.0,3.0,1,14,C4,56,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,22
0.0,3.375,5.0,4.0,1,14,C4,55,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,14
3.375,3.375,8.0,5.0,1,27,C4,42,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,16
1.375,3.5,11.0,6.0,1,14,C3,55,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,16
2.125,3.5,16.0,7.0,1,26,C3,43,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,12
4.0,5.0,13.0,8.0,1,14,C3,55,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,8
1.375,1.625,18.0,9.0,1,14,C3,55,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,4
0.25,1.625,20.0,10.0,1,44,C2,25,C3,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,2
2.25,2.375,12.0,11.0,1,14,C3,55,C2,0,,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,0
3.5,7.75,9.0,12.0,2,14,C4,19,C2,36,C3,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,-2
0.0,0.5,17.0,13.0,2,23,C3,36,C2,9,C4,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,0
0.5,0.5,14.0,14.0,2,14,C4,50,C2,4,C3,0,,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2,0
16.22222222222222,27.444444444444443,2.0,1.0,2,18,C2,13,C1,19,C2,0,,52,5.891,18,2,510,High,False,52.16938775510204,27.43163265306122,38.73979591836735,0.0,10,32
16.11111111111111,26.333333333333332,1.0,2.0,1,24,C2,27,C1,0,,0,,52,5.891,18,2,510,High,False,52.16938775510204,27.43163265306122,38.73979591836735,0.0,10,11
11.222222222222221,27.444444444444443,3.0,3.0,2,12,C2,20,C1,19,C2,0,,52,5.891,18,2,510,High,False,52.16938775510204,27.43163265306122,38.73979591836735,0.0,10,15
10.222222222222221,26.333333333333332,4.0,4.0,1,20,C2,31,C1,0,,0,,52,5.891,18,2,510,High,False,52.16938775510204,27.43163265306122,38.73979591836735,0.0,10,12
10.666666666666666,21.0,6.0,5.0,2,17,C2,12,C1,22,C2,0,,52,5.891,18,2,510,High,False,52.16938775510204,27.43163265306122,38.73979591836735,0.0,10,12
3.7777777777777777,6.888888888888889,11.0,6.0,1,19,C1,32,C0,0,,0,,52,5.891,18,2,510,High,False,52.16938775510204,27.43163265306122,38.73979591836735,0.0,10,16
