Season,Round,Driver,Points
2019,19,KVY,34.0
2019,19,RAI,31.0
2019,19,STR,21.0
2019,19,MAG,20.0
2019,19,GRO,8.0
2019,19,GIO,4.0
2019,19,KUB,1.0
2019,19,RUS,0.0
2019,20,HAM,387.0
2019,20,BOT,314.0
2019,20,VER,260.0
2019,20,LEC,249.0
2019,20,VET,230.0
2019,20,GAS,95.0
2019,20,SAI,95.0
2019,20,ALB,84.0
2019,20,RIC,54.0
2019,20,PER,46.0
2019,20,NOR,45.0
2019,20,RAI,43.0
2019,20,HUL,37.0
2019,20,KVY,35.0
2019,20,STR,21.0
2019,20,MAG,20.0
2019,20,GIO,14.0
2019,20,GRO,8.0
2019,20,KUB,1.0
2019,20,RUS,0.0
2019,21,HAM,413.0
2019,21,BOT,326.0
2019,21,VER,278.0
2019,21,LEC,264.0
2019,21,VET,240.0
2019,21,SAI,96.0
2019,21,GAS,95.0
2019,21,ALB,92.0
2019,21,RIC,54.0
2019,21,PER,52.0
2019,21,NOR,49.0
2019,21,RAI,43.0
2019,21,HUL,37.0
2019,21,KVY,37.0
2019,21,STR,21.0
2019,21,MAG,20.0
2019,21,GIO,14.0
2019,21,GRO,8.0
2019,21,KUB,1.0
2019,21,RUS,0.0
2020,1,BOT,25.0
2020,1,LEC,18.0
2020,1,NOR,16.0
2020,1,HAM,12.0
2020,1,SAI,10.0
2020,1,PER,8.0
2020,1,GAS,6.0
2020,1,OCO,4.0
2020,1,GIO,2.0
2020,1,VET,1.0
2020,1,LAT,0.0
2020,1,KVY,0.0
2020,1,ALB,0.0
2020,1,RAI,0.0
2020,1,RUS,0.0
2020,1,GRO,0.0
2020,1,MAG,0.0
2020,1,STR,0.0
2020,1,RIC,0.0
2020,1,VER,0.0
2020,2,BOT,43.0
2020,2,HAM,37.0
2020,2,NOR,26.0
2020,2,LEC,18.0
2020,2,PER,16.0
2020,2,VER,15.0
2020,2,SAI,13.0
2020,2,ALB,12.0
2020,2,GAS,6.0
2020,2,STR,6.0
2020,2,OCO,4.0
2020,2,RIC,4.0
2020,2,GIO,2.0
2020,2,VET,1.0
2020,2,KVY,1.0
2020,2,LAT,0.0
2020,2,RAI,0.0
2020,2,RUS,0.0
2020,2,GRO,0.0
2020,2,MAG,0.0
2020,3,HAM,63.0
2020,3,BOT,58.0
2020,3,VER,33.0
2020,3,NOR,26.0
2020,3,PER,22.0
2020,3,ALB,22.0
2020,3,LEC,18.0
2020,3,STR,18.0
2020,3,SAI,15.0
2020,3,VET,9.0
2020,3,RIC,8.0
2020,3,GAS,6.0
2020,3,OCO,4.0
2020,3,GIO,2.0
2020,3,KVY,1.0
2020,3,MAG,1.0
2020,3,LAT,0.0
2020,3,RAI,0.0
2020,3,RUS,0.0
2020,3,GRO,0.0
2020,4,HAM,88.0
2020,4,BOT,58.0
2020,4,VER,52.0
2020,4,NOR,36.0
2020,4,LEC,33.0
2020,4,ALB,26.0
2020,4,PER,22.0
2020,4,STR,20.0
2020,4,RIC,20.0
2020,4,SAI,15.0
2020,4,GAS,12.0
2020,4,OCO,12.0
2020,4,VET,10.0
2020,4,GIO,2.0
2020,4,KVY,1.0
2020,4,MAG,1.0
2020,4,LAT,0.0
2020,4,RAI,0.0
2020,4,RUS,0.0
2020,4,GRO,0.0
2020,4,HUL,0.0
2020,5,HAM,107.0
2020,5,VER,77.0
2020,5,BOT,73.0
2020,5,LEC,45.0
2020,5,NOR,38.0
2020,5,ALB,36.0
2020,5,STR,28.0
2020,5,PER,22.0
2020,5,RIC,20.0
2020,5,OCO,16.0
2020,5,SAI,15.0
2020,5,GAS,12.0
2020,5,VET,10.0
2020,5,HUL,6.0
2020,5,GIO,2.0
2020,5,KVY,2.0
2020,5,MAG,1.0
2020,5,LAT,0.0
2020,5,RAI,0.0
2020,5,RUS,0.0
2020,5,GRO,0.0
2020,6,HAM,132.0
2020,6,VER,95.0
2020,6,BOT,89.0
2020,6,LEC,45.0
2020,6,ALB,40.0
2020,6,STR,40.0
2020,6,NOR,39.0
2020,6,PER,32.0
2020,6,SAI,23.0
2020,6,RIC,20.0
2020,6,OCO,16.0
2020,6,VET,16.0
2020,6,GAS,14.0
2020,6,HUL,6.0
2020,6,GIO,2.0
2020,6,KVY,2.0
2020,6,MAG,1.0
2020,6,LAT,0.0
2020,6,RAI,0.0
2020,6,RUS,0.0
2020,6,GRO,0.0
2020,7,HAM,157.0
2020,7,VER,110.0
2020,7,BOT,107.0
2020,7,ALB,48.0
2020,7,LEC,45.0
2020,7,NOR,45.0
2020,7,STR,42.0
2020,7,PER,33.0
2020,7,RIC,33.0
2020,7,OCO,26.0
2020,7,SAI,23.0
2020,7,GAS,18.0
2020,7,VET,16.0
2020,7,HUL,6.0
2020,7,GIO,2.0
2020,7,KVY,2.0
2020,7,MAG,1.0
2020,7,LAT,0.0
2020,7,RAI,0.0
2020,7,RUS,0.0
2020,7,GRO,0.0
2020,8,HAM,164.0
2020,8,BOT,117.0
2020,8,VER,110.0
2020,8,NOR,57.0
2020,8,STR,57.0
2020,8,ALB,48.0
2020,8,LEC,45.0
2020,8,GAS,43.0
2020,8,SAI,41.0
2020,8,RIC,41.0
2020,8,PER,34.0
2020,8,OCO,30.0
2020,8,VET,16.0
2020,8,HUL,6.0
2020,8,KVY,4.0
2020,8,GIO,2.0
2020,8,MAG,1.0
2020,8,LAT,0.0
2020,8,RAI,0.0
2020,8,RUS,0.0
2020,8,GRO,0.0
2020,9,HAM,190.0
2020,9,BOT,135.0
2020,9,VER,110.0
2020,9,NOR,65.0
2020,9,ALB,63.0
2020,9,STR,57.0
2020,9,RIC,53.0
2020,9,LEC,49.0
2020,9,PER,44.0
2020,9,GAS,43.0
2020,9,SAI,41.0
2020,9,OCO,30.0
2020,9,VET,17.0
2020,9,KVY,10.0
2020,9,HUL,6.0
2020,9,GIO,2.0
2020,9,RAI,2.0
2020,9,MAG,1.0
2020,9,LAT,0.0
2020,9,RUS,0.0
2020,9,GRO,0.0
2020,10,HAM,205.0
2020,10,BOT,161.0
2020,10,VER,128.0
2020,10,NOR,65.0
2020,10,ALB,64.0
2020,10,RIC,63.0
2020,10,LEC,57.0
2020,10,STR,57.0
2020,10,PER,56.0
2020,10,GAS,45.0
2020,10,SAI,41.0
2020,10,OCO,36.0
2020,10,VET,17.0
2020,10,KVY,14.0
2020,10,HUL,6.0
2020,10,GIO,2.0
2020,10,RAI,2.0
2020,10,MAG,1.0
2020,10,LAT,0.0
2020,10,RUS,0.0
2020,10,GRO,0.0
2020,11,HAM,230.0
2020,11,BOT,161.0
2020,11,VER,147.0
2020,11,RIC,78.0
2020,11,PER,68.0
2020,11,NOR,65.0
2020,11,ALB,64.0
2020,11,LEC,63.0
2020,11,STR,57.0
2020,11,GAS,53.0
2020,11,SAI,51.0
2020,11,OCO,36.0
2020,11,VET,17.0
2020,11,KVY,14.0
2020,11,HUL,10.0
2020,11,GIO,3.0
2020,11,RAI,2.0
2020,11,GRO,2.0
2020,11,MAG,1.0
2020,11,LAT,0.0
2020,11,RUS,0.0
2020,12,HAM,256.0
2020,12,BOT,179.0
2020,12,VER,162.0
2020,12,RIC,80.0
2020,12,LEC,75.0
2020,12,PER,74.0
2020,12,NOR,65.0
2020,12,ALB,64.0
2020,12,GAS,63.0
2020,12,SAI,59.0
2020,12,STR,57.0
2020,12,OCO,40.0
2020,12,VET,18.0
2020,12,KVY,14.0
2020,12,HUL,10.0
2020,12,GIO,3.0
2020,12,RAI,2.0
2020,12,GRO,2.0
2020,12,MAG,1.0
2020,12,LAT,0.0
