Driver,GrandPrix,DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Strategy,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps
ERI,Monaco Grand Prix 2018,0.4,2.2,16.0,11.0,1,16,C4,61,C3,0,,0,,C4-C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
PER,Monaco Grand Prix 2018,3.4,3.6,9.0,12.0,1,20,C5,57,C3,0,,0,,C5-C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
MAG,Monaco Grand Prix 2018,3.8,3.8,19.0,13.0,1,16,C4,61,C3,0,,0,,C4-C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
VAN,Monaco Grand Prix 2018,1.6,8.0,12.0,14.0,2,19,C4,52,C3,5,C5,0,,C4-C3-C5,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
GRO,Monaco Grand Prix 2018,0.0,3.8,18.0,15.0,2,14,C4,53,C3,9,C5,0,,C4-C3-C5,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
SIR,Monaco Grand Prix 2018,0.0,0.8,13.0,16.0,3,6,C5,12,C5,30,C4,28,C3,C5-C5-C4-C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
STR,Monaco Grand Prix 2018,0.8,0.8,17.0,17.0,3,8,C4,25,C3,25,C5,17,C5,C4-C3-C5-C5,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
VET,Canadian Grand Prix 2018,16.0,26.0,1.0,1.0,1,35,C4,33,C3,0,,0,,C4-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
BOT,Canadian Grand Prix 2018,11.333333333333334,29.666666666666668,2.0,2.0,1,35,C4,34,C3,0,,0,,C4-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
VER,Canadian Grand Prix 2018,5.833333333333333,17.833333333333332,3.0,3.0,1,15,C5,54,C3,0,,0,,C5-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
RIC,Canadian Grand Prix 2018,12.0,17.833333333333332,6.0,4.0,1,16,C5,53,C3,0,,0,,C5-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
HAM,Canadian Grand Prix 2018,18.333333333333332,29.666666666666668,4.0,5.0,1,15,C4,54,C3,0,,0,,C4-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
RAI,Canadian Grand Prix 2018,10.0,26.0,5.0,6.0,1,31,C4,38,C3,0,,0,,C4-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
HUL,Canadian Grand Prix 2018,4.333333333333333,7.666666666666667,7.0,7.0,1,12,C5,56,C3,0,,0,,C5-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
SAI,Canadian Grand Prix 2018,3.3333333333333335,7.666666666666667,9.0,8.0,1,13,C5,55,C3,0,,0,,C5-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
OCO,Canadian Grand Prix 2018,1.5,4.333333333333333,8.0,9.0,1,10,C5,58,C3,0,,0,,C5-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
LEC,Canadian Grand Prix 2018,1.5,1.8333333333333333,13.0,10.0,1,18,C4,50,C3,0,,0,,C4-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
GAS,Canadian Grand Prix 2018,3.0,3.1666666666666665,16.0,11.0,1,22,C5,46,C3,0,,0,,C5-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
GRO,Canadian Grand Prix 2018,0.0,3.1666666666666665,20.0,12.0,1,47,C4,21,C3,0,,0,,C4-C3,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
